skill,filter_type,skill_subsuper,freqcy_2015,freqcy_2016,freqcy_2017
key account,subsuper,"account executives,account management,account planning,account reconciliation,account servicing,key management,account sales strategies,channel account management,enterprise account management,global account management,key account development,key account development,key account management,key account management,key client relationships,key opinion leaders,key performance indicators,managing key accounts,new account acquisition,new account opening,public key infrastructure,strategic account development,territory account management",209,289,72
managing key accounts,subsuper,"accounts payable,accounts receivable,client accounts,final accounts,general accounts,intercompany accounts,key account,key management,major accounts,managing accounts,managing accounts,managing database,managing deadlines,managing events,managing finances,managing meetings,managing processes,monthly accounts,national accounts,sun accounts,key account development,key account management,key client relationships,key opinion leaders,key performance indicators,managing agency relationships,managing complex sales,managing it infrastructure,managing media relations,managing offshore teams,managing project budgets,public key infrastructure,year end accounts",5,6,8
proven leadership skills,subsuper,"leadership,analytical skills,business leadership,change leadership,clerical skills,clinical skills,communication skills,communicative skills,computer skills,coordinating skills,coordination skills,creativity skills,culinary skills,design leadership,drawing skills,editorial skills,educational leadership,entrepreneurial skills,ethical leadership,executive leadership,global leadership,group leadership,inspiring leadership,interpersonal leadership,interpersonal skills,interview skills,interviewing skills,intrapersonal skills,it leadership,it skills,keyboard skills,laboratory skills,language skills,leadership assessment,leadership development,leadership initiatives,leadership management,leadership mentoring,leadership skill,leadership skills,leadership skills,leadership training,life skills,listening skills,management skills,managerial skills,marketing leadership,multitasking skills,negotiation skills,organisational leadership,organisational skills,organization skills,organizational leadership,organizational skills,people leadership,people skills,personnel leadership,phone skills,powerpoint skills,presentation skills,project leadership,prospecting skills,reasoning skills,safety leadership,sales leadership,secretarial skills,selling skills,servant leadership,social skills,soft skills,strategic leadership,student leadership,study skills,supervisory skills,teaching skills,team leadership,technical leadership,technology leadership,telephone skills,thought leadership,training leadership,training skills,transformational leadership,writing skills,client facing skills,client interfacing skills,decision making skills,exceptional people skills,executive presentation skills,global hr leadership,good communication skills,good interpersonal skills,great people skills,high analytical skills,interpersonal communication skills,leadership and management,leadership development coaching,problem solving skills,program management skills,public relations skills,report writing skills,sales skills training,senior executive leadership,solid computer skills,strategic selling skills,strong analytical skills,vendor management skills",6,145,0
integrated marketing communications,subsuper,"communications,affiliate marketing,alliance marketing,b2b marketing,b2c marketing,brand communications,brand marketing,business communications,casino marketing,cause marketing,change communications,channel marketing,clear communications,client communications,cloud marketing,communication marketing,communications audits,communications management,communications planning,communications strategy,community marketing,consumer marketing,content marketing,corporate communications,corporate marketing,crisis communications,customer marketing,database marketing,destination marketing,digital marketing,direct marketing,electronic marketing,email marketing,employee communications,enterprise marketing,event marketing,events marketing,executive communications,experiential marketing,facebook marketing,fashion marketing,field marketing,financial communications,global communications,global marketing,healthcare marketing,inbound marketing,influencer marketing,integrated design,integrated marketing,integrated marketing,integrated media,integrated systems,interactive marketing,internal communications,internal marketing,international marketing,internet marketing,legal marketing,linkedin marketing,local marketing,loyalty marketing,management marketing,marketing activation,marketing analytics,marketing automation,marketing budget,marketing communication,marketing communications,marketing communications,marketing concepts,marketing consulting,marketing copy,marketing digital,marketing effectiveness,marketing intelligence,marketing international,marketing leadership,marketing management,marketing materials,marketing mix,marketing online,marketing operations,marketing reporting,marketing research,marketing roi,marketing social,marketing strategy,marketing support,media communications,media marketing,medical communications,medical marketing,mobile communications,mobile marketing,network communications,network marketing,offline marketing,online communications,online marketing,optical communications,outbound marketing,partner marketing,partnership marketing,product marketing,project communications,project marketing,promotional marketing,property marketing,recruitment marketing,regional marketing,relationship marketing,restaurant marketing,retail marketing,satellite communications,scientific communications,search marketing,segment marketing,serial communications,services marketing,shopper marketing,social marketing,solutions marketing,sponsorship marketing,sports marketing,strategic communications,strategic marketing,target marketing,technical marketing,technology marketing,tourism marketing,trade marketing,travel marketing,unified communications,vertical marketing,video marketing,viral marketing,web marketing,wireless communications,adobe marketing cloud,cross channel marketing,designing marketing collateral,digital direct marketing,digital marketing experience,email marketing software,event based marketing,integrated circuit design,integrated management systems,integrated marketing plans,integrated marketing plans,integrated pest management,integrated security systems,marketing and sales,marketing budget management,marketing campaign management,marketing communications planning,marketing communications planning,new media marketing,performance based marketing,sales and marketing,search engine marketing,senior management communications,social media communications,social media marketing,strategic communications counsel,web marketing strategy,wireless communications systems",17,9,8
marketing communications,subsuper,"communications,affiliate marketing,alliance marketing,b2b marketing,b2c marketing,brand communications,brand marketing,business communications,casino marketing,cause marketing,change communications,channel marketing,clear communications,client communications,cloud marketing,communication marketing,communications audits,communications management,communications planning,communications strategy,community marketing,consumer marketing,content marketing,corporate communications,corporate marketing,crisis communications,customer marketing,database marketing,destination marketing,digital marketing,direct marketing,electronic marketing,email marketing,employee communications,enterprise marketing,event marketing,events marketing,executive communications,experiential marketing,facebook marketing,fashion marketing,field marketing,financial communications,global communications,global marketing,healthcare marketing,inbound marketing,influencer marketing,integrated marketing,interactive marketing,internal communications,internal marketing,international marketing,internet marketing,legal marketing,linkedin marketing,local marketing,loyalty marketing,management marketing,marketing activation,marketing analytics,marketing automation,marketing budget,marketing communication,marketing concepts,marketing consulting,marketing copy,marketing digital,marketing effectiveness,marketing intelligence,marketing international,marketing leadership,marketing management,marketing materials,marketing mix,marketing online,marketing operations,marketing reporting,marketing research,marketing roi,marketing social,marketing strategy,marketing support,media communications,media marketing,medical communications,medical marketing,mobile communications,mobile marketing,network communications,network marketing,offline marketing,online communications,online marketing,optical communications,outbound marketing,partner marketing,partnership marketing,product marketing,project communications,project marketing,promotional marketing,property marketing,recruitment marketing,regional marketing,relationship marketing,restaurant marketing,retail marketing,satellite communications,scientific communications,search marketing,segment marketing,serial communications,services marketing,shopper marketing,social marketing,solutions marketing,sponsorship marketing,sports marketing,strategic communications,strategic marketing,target marketing,technical marketing,technology marketing,tourism marketing,trade marketing,travel marketing,unified communications,vertical marketing,video marketing,viral marketing,web marketing,wireless communications,adobe marketing cloud,cross channel marketing,designing marketing collateral,digital direct marketing,digital marketing experience,email marketing software,event based marketing,integrated marketing communications,integrated marketing communications,integrated marketing plans,marketing and sales,marketing budget management,marketing campaign management,marketing communications planning,marketing communications planning,new media marketing,performance based marketing,sales and marketing,search engine marketing,senior management communications,social media communications,social media marketing,strategic communications counsel,web marketing strategy,wireless communications systems",333,675,435
sap material management,subsuper,"sap,3pl management,access management,account management,accounting management,administrative management,advertising management,affiliate management,aircraft management,airport management,airway management,alarm management,application management,architecture management,artist management,arts management,asset management,association management,attendance management,audit management,availability management,bandwidth management,bank management,bar management,behavior management,benefits management,bid management,bim management,bom management,branch management,brand management,budget management,building management,business management,cable management,cafeteria management,campaign management,campus management,candidate management,capacity management,capital management,career management,case management,cash management,catalog management,category management,change management,channel management,channels management,claims management,classroom management,client management,clinic management,cluster management,collateral management,collections management,color management,commercial management,commissioning management,commodity management,communications management,community management,company management,competency management,complaint management,compliance management,conference management,configuration management,conflict management,construction management,contact management,content management,contingency management,contract management,contractor management,contracts management,corporate management,cost management,course management,course material,creative management,credit management,crisis management,culinary management,cultural management,customer management,data management,database management,datacenter management,dealer management,debt management,defect management,delegate management,delivery management,demand management,department management,design management,desktop management,destination management,development management,deviation management,diary management,disaster management,disease management,distribution management,distributor management,dns management,document management,domain management,donor management,education management,educational management,email management,emergency management,employee management,ems management,energy management,engagement management,engineering management,environment management,environmental management,equipment management,escalation management,estate management,event management,events management,executive management,expatriate management,expectations management,expense management,facilities management,facility management,fault management,feedback management,file management,finance management,financial management,firewall management,fleet management,fraud management,fuel management,fulfillment management,fund management,funds management,general management,global management,grant management,growth management,headcount management,healthcare management,hospitality management,hotel management,hr management,identity management,incident management,information management,infrastructure management,innovation management,integrity management,interface management,interim management,international management,inventory management,investment management,ip management,issue management,issues management,it management,key management,knowledge management,kol management,lab management,labor management,laboratory management,landscape management,lead management,leadership management,lean management,learning management,lease management,leave management,library management,license management,lifestyle management,line management,liquidity management,litigation management,log management,logistics management,maintenance management,man management,management accounting,management coaching,management consultancy,management consulting,management contracts,management control,management development,management marketing,management principles,management reporting,management review,management science,management skills,management system,manpower management,manufacturing management,marketing management,material analysis,material characterisation,material handling,material management,material management,material planning,material science,material selection,materials management,matrix management,media management,membership management,memory management,metadata management,middle management,mobility management,money management,move management,mro management,network management,npi management,office management,offshore management,operation management,operational management,operations management,order management,organizational management,output management,outsourcing management,pain management,partner management,partnership management,patch management,payroll management,people management,performance management,personnel management,pipeline management,plant management,port management,portfolio management,power management,practice management,print management,priority management,problem management,process management,procurement management,product management,production management,profitability management,program management,programme management,project management,property management,proposal management,public management,purchase management,purchasing management,quality management,queue management,records management,regional management,relation management,relationship management,release management,remote management,reputation management,requirements management,research management,resource management,restaurant management,retail management,retention management,revenue management,risk management,roi management,safety management,sales management,sample management,sap abap,sap accounting,sap ale,sap apo,sap applications,sap architecture,sap b1,sap basis,sap bi,sap bo,sap bobj,sap bpc,sap businessobjects,sap bw,sap clm,sap configuration,sap consulting,sap crm,sap cs,sap development,sap ecc,sap erp,sap ewm,sap fi,sap fico,sap financial,sap fiori,sap grc,sap gts,sap gui,sap hana,sap hcm,sap hr,sap implementation,sap logistics,sap maintenance,sap mdm,sap mm,sap mobile,sap netweaver,sap payroll,sap pi,sap portal,sap pp,sap procurement,sap projects,sap ps,sap qm,sap r3,sap retail,sap scm,sap sd,sap security,sap software,sap solutions,sap srm,sap system,sap testing,sap tm,sap ui5,sap wm,sap workflow,sap xi,scheduling management,scope management,scorecard management,security management,self management,senior management,server management,service management,ship management,site management,space management,speaker management,spectrum management,spend management,sponsorship management,sports management,staff management,stage management,stakeholder management,stock management,storage management,store management,strata management,strategic management,strategy management,stress management,subcontracts management,supervisory management,supplier management,supply management,support management,systems management,talent management,tape management,task management,team management,technical management,technology management,telecommunications management,tenancy management,tender management,territory management,test management,thermal management,time management,tourism management,traffic management,training management,training material,transaction management,transition management,translation management,transportation management,travel management,treasury management,trial management,trust management,turf management,user management,utilities management,utilization management,value management,vendor management,venue management,vessel management,visitor management,visual management,volunteer management,vulnerability management,warehouse management,waste management,water management,wealth management,webinar management,website management,weight management,workflow management,workforce management,yard management,yield management,access control management,access management software,agile project management,air traffic management,application lifecycle management,application management services,application performance management,application portfolio management,asset liability management,asset management software,balance sheet management,bank relationship management,battery management systems,building management systems,business change management,business continuity management,business management software,business operations management,business performance management,business process management,business relationship management,business risk management,business service management,case management services,case management software,cash flow management,channel account management,client relationship management,clinical data management,clinical trial management,cold chain management,collateral material design,commodity risk management,configuration management software,construction project management,content management system,corporate website management,cost center management,cost reduction management,credit portfolio management,credit risk management,customer escalation management,customer experience management,customer lifecycle management,customer relations management,customer relationship management,customer service management,daily operations management,data center management,data centre management,data management software,database management software,database management system,database management systems,department budget management,digital asset management,digital project management,earned value management,ehs management systems,engineering change management,enterprise account management,enterprise asset management,enterprise content management,enterprise risk management,environmental management systems,expense budget management,file management systems,financial management experience,financial management services,financial risk management,fire safety management,fixed asset management,fleet management software,fleet management systems,food cost management,foreign exchange management,fraud risk management,global account management,global asset management,global business management,global cash management,global trade management,global travel management,hazardous waste management,hr project management,hse management systems,human capital management,human resource management,human resources management,hyperion financial management,information security management,inspection management system,integrated management systems,integrated pest management,intellectual asset management,intellectual property management,it asset management,it business management,it financial management,it infrastructure management,it operations management,it project management,it relationship management,it risk management,it service management,key account management,leadership and management,learning management systems,mailing list management,maintenance management software,major incident management,management due diligence,management of change,manufacturing operations management,market risk management,marketing budget management,marketing campaign management,master data management,material handling equipment,material take off,media asset management,medical case management,meter data management,mobile device management,network management applications,network management software,network performance management,online business management,online campaign management,online community management,online reputation management,operational risk management,oracle order management,partner relationship management,patch management software,patient management software,private wealth management,process safety management,product lifecycle management,program management skills,project management office,project management plan,project management professional,project management software,project management tools,project portfolio management,project risk management,project team management,property management systems,quality management system,quality management systems,records management systems,remote infrastructure management,research project management,risk management software,risk management systems,safety management systems,sales pipeline management,sap application development,sap business intelligence,sap business objects,sap business one,sap crm technical,sap data migration,sap functional consultants,sap mm module,sap plant maintenance,sap production planning,sap project management,sap project management,sap sd module,sap solution manager,sap super user,sap supply chain,sap warehouse management,sap warehouse management,security event management,security patch management,senior management communications,senior stakeholder management,service delivery management,service desk management,service level management,social media management,software asset management,software configuration management,software licensing management,software lifecycle management,software project management,software quality management,storage management software,supplier quality management,supplier relationship management,supplier risk management,supply chain management,technical product management,technical project management,technology risk management,territory account management,test management tool,time management system,total quality management,value chain management,vendor management experience,vendor management skills,vendor relationship management,warehouse management system,wealth management services,web content management,working capital management",5,26,16
human modeling software,subsuper,"modeling,2d software,3d modeling,accounting software,adobe software,analytical software,animation software,antivirus software,apple software,architectural modeling,assessment software,attribution modeling,autodesk software,b2b software,banking software,bloomberg software,business modeling,calendar software,calibration software,catastrophe modeling,certain software,clustering software,compliance software,computational modeling,computer software,crm software,data modeling,database modeling,database software,debugging software,decision modeling,delphi software,deployment software,device modeling,dimensional modeling,drafting software,drawing software,econometric modeling,economic modeling,editing software,educational software,email software,embedded software,encryption software,enterprise software,environmental modeling,erp software,estimating software,financial modeling,firewall software,focus software,gis software,graphics software,hr software,human anatomy,human behavior,human capital,human development,human factors,human genetics,human geography,human nutrition,human performance,human physiology,human relations,human relationship,human resource,human resources,human rights,human security,hyperion software,imaging software,instructional software,inventory software,invoice software,maintenance software,mastercam software,mathematical modeling,mentor software,microstrategy software,migration software,mobile software,modeling software,modeling software,navigation software,numerical modeling,optimization software,oracle software,payroll software,physical modeling,predictive modeling,presentation software,pricing software,process modeling,productivity software,purchasing software,quantitative modeling,reporting software,risk modeling,sales software,sap software,sas software,scanning software,scheduling software,shipping software,simulation modeling,simulation software,software analysis,software architecture,software consulting,software deployment,software design,software development,software distribution,software documentation,software engineering,software estimation,software implementation,software industry,software installation,software integration,software libraries,software licensing,software packaging,software procurement,software quality,software requirements,software sales,software solutions,software testing,software training,software troubleshooting,software validation,software verification,solid modeling,specification software,spreadsheet software,spss software,statistical modeling,statistical software,statistics software,systems modeling,tableau software,tax software,testing software,threat modeling,times software,training software,troubleshooting software,valuation modeling,verification software,vmware software,workflow software,3d modeling software,3d modeling software,access management software,applicant tracking software,asset management software,automated software testing,building energy modeling,building information modeling,business intelligence software,business management software,business software applications,call center software,case management software,configuration management software,control system software,custom software development,data analysis software,data management software,data visualization software,database management software,defect tracking software,desktop publishing software,digital imaging software,email marketing software,embroidery design software,financial analysis software,fleet management software,help desk software,human capital management,human capital strategy,human computer interaction,human factors engineering,human machine interface,human resource development,human resource management,human resource planning,human resources management,image editing software,image processing software,incident tracking software,inventory control software,inventory tracking software,jd edwards software,job scheduling software,logical data modeling,machine control software,maintenance management software,microsoft office software,myob accounting software,network management software,network monitoring software,object oriented software,office suite software,offshore software development,open source software,operating system software,oracle hyperion software,patch management software,patient management software,physical data modeling,process simulation software,project management software,project planning software,project scheduling software,qualitative analysis software,quality control software,rational software architect,relational data modeling,reliability analysis software,remote access software,remote control software,requirements analysis software,resource planning software,risk analysis software,risk assessment software,risk management software,software asset management,software configuration management,software defined networking,software defined radio,software design patterns,software development methodologies,software development tools,software engineering practices,software licensing management,software lifecycle management,software project management,software quality assurance,software quality management,software solution sales,statistical analysis software,storage management software,supply chain software,test design software,ubs accounting software,unit testing software,version control software,video editing software,virtual reality software,water quality modeling,web design software,word processing software",1,0,0
injection molding machines,subsuper,"molding,binding machines,boring machines,copy machines,cutting machines,dependency injection,dialysis machines,dishwashing machines,drill machines,electrical machines,embroidery machines,engraving machines,espresso machines,grinding machines,grouting machines,ice machines,injection molding,injection molding,lapping machines,lathe machines,milling machines,molding machines,molding machines,packaging machines,polishing machines,sewing machines,slitting machines,sql injection,turning machines,virtual machines,washing machines,chemical injection systems,coin counting machines,credit card machines,laser cutting machines,snack vending machines,surface grinding machines",0,0,2
people skills,subsuper,"analytical skills,clerical skills,clinical skills,communication skills,communicative skills,computer skills,connecting people,coordinating skills,coordination skills,creativity skills,culinary skills,drawing skills,editorial skills,engaging people,entrepreneurial skills,inspiring people,interpersonal skills,interview skills,interviewing skills,intrapersonal skills,it skills,keyboard skills,laboratory skills,language skills,leadership skills,leading people,life skills,listening skills,management skills,managerial skills,multitasking skills,negotiation skills,organisational skills,organization skills,organizational skills,people development,people leadership,people management,phone skills,powerpoint skills,presentation skills,prospecting skills,reasoning skills,secretarial skills,selling skills,social skills,soft skills,study skills,supervisory skills,teaching skills,telephone skills,training skills,writing skills,young people,client facing skills,client interfacing skills,decision making skills,development of people,exceptional people skills,exceptional people skills,executive presentation skills,good communication skills,good interpersonal skills,great people skills,great people skills,high analytical skills,interpersonal communication skills,problem solving skills,program management skills,proven leadership skills,public relations skills,report writing skills,sales skills training,solid computer skills,strategic selling skills,strong analytical skills,vendor management skills",49,846,0
exceptional people skills,subsuper,"analytical skills,clerical skills,clinical skills,communication skills,communicative skills,computer skills,connecting people,coordinating skills,coordination skills,creativity skills,culinary skills,drawing skills,editorial skills,engaging people,entrepreneurial skills,inspiring people,interpersonal skills,interview skills,interviewing skills,intrapersonal skills,it skills,keyboard skills,laboratory skills,language skills,leadership skills,leading people,life skills,listening skills,management skills,managerial skills,multitasking skills,negotiation skills,organisational skills,organization skills,organizational skills,people development,people leadership,people management,people skills,people skills,phone skills,powerpoint skills,presentation skills,prospecting skills,reasoning skills,secretarial skills,selling skills,social skills,soft skills,study skills,supervisory skills,teaching skills,telephone skills,training skills,writing skills,young people,client facing skills,client interfacing skills,decision making skills,development of people,executive presentation skills,good communication skills,good interpersonal skills,great people skills,great people skills,high analytical skills,interpersonal communication skills,problem solving skills,program management skills,proven leadership skills,public relations skills,report writing skills,sales skills training,solid computer skills,strategic selling skills,strong analytical skills,vendor management skills",10,9,0
great people skills,subsuper,"analytical skills,clerical skills,clinical skills,communication skills,communicative skills,computer skills,connecting people,coordinating skills,coordination skills,creativity skills,culinary skills,drawing skills,editorial skills,engaging people,entrepreneurial skills,great personality,great plains,inspiring people,interpersonal skills,interview skills,interviewing skills,intrapersonal skills,it skills,keyboard skills,laboratory skills,language skills,leadership skills,leading people,life skills,listening skills,management skills,managerial skills,multitasking skills,negotiation skills,organisational skills,organization skills,organizational skills,people development,people leadership,people management,people skills,people skills,phone skills,powerpoint skills,presentation skills,prospecting skills,reasoning skills,secretarial skills,selling skills,social skills,soft skills,study skills,supervisory skills,teaching skills,telephone skills,training skills,writing skills,young people,client facing skills,client interfacing skills,decision making skills,development of people,exceptional people skills,exceptional people skills,executive presentation skills,good communication skills,good interpersonal skills,high analytical skills,interpersonal communication skills,problem solving skills,program management skills,proven leadership skills,public relations skills,report writing skills,sales skills training,solid computer skills,strategic selling skills,strong analytical skills,vendor management skills",3,6,0
new product development,subsuper,"agency development,algorithm development,alliance development,android development,api development,application development,artist development,assay development,athlete development,audience development,backend development,beverage development,board development,brand development,branding development,budget development,business development,campaign development,candidate development,capability development,capacity development,career development,category development,child development,client development,clinical development,collection development,communication development,community development,competency development,concept development,content development,contract development,corporate development,course development,courseware development,creative development,curriculum development,customer development,database development,deal development,design development,development appraisals,development design,development management,development planning,development projects,development strategy,development tools,drug development,economic development,enterprise development,entrepreneurship development,executive development,export development,facilities development,facility development,faculty development,field development,firmware development,formulation development,game development,graduate development,greenfield development,gui development,hardware development,hotel development,human development,ideas development,industry development,innovation development,international development,ios development,ipad development,it development,jsp development,kol development,land development,language development,leadership development,linux development,look development,management development,market development,materials development,media development,membership development,menu development,merchandise development,message development,method development,new leads,new media,new ventures,offer development,organisation development,organisational development,organizational development,partner development,partnership development,pattern development,people development,personal development,personality development,personnel development,pipeline development,pitch development,platform development,player development,pmo development,policy development,portal development,portlet development,powerpoint development,practice development,presentation development,procedure development,process development,processes development,product analysis,product certification,product complaints,product control,product costing,product customization,product demonstration,product design,product development,product development,product display,product distribution,product engineering,product evangelism,product forecasting,product innovation,product knowledge,product launch,product launches,product liability,product management,product marketing,product naming,product offerings,product optimization,product ordering,product owner,product planning,product presentation,product promotion,product quality,product requirements,product safety,product sampling,product sourcing,product specialists,product specification,product stewardship,product strategies,product strategy,product structuring,product support,product testing,product training,product transfer,professional development,program development,programme development,project development,property development,proposition development,protocol development,qlikview development,recipe development,regional development,relationship development,report development,research development,resource development,rfq development,sales development,sap development,schedule development,service development,site development,software development,solution development,solutions development,sop development,sports development,staff development,standards development,strategic development,strategy development,student development,supplier development,suppliers development,sustainable development,system development,talent development,team development,technology development,tender development,territory development,test development,timeline development,training development,vision development,visual development,web development,website development,workforce development,wpf development,youth development,android app development,asia business development,building new business,business case development,business model development,business process development,career development coaching,channel partner development,channel sales development,china business development,commercial business development,creative concept development,custom software development,customer product training,dealer network development,developing new markets,development of employees,development of people,development of sales,development of strategy,digital business development,early childhood development,enterprise application development,front office development,global brand development,global business development,global strategy development,high potential development,human resource development,identifying new opportunities,international business development,introducing new products,iphone application development,it systems development,j2ee application development,key account development,leadership development coaching,leading development teams,learning and development,mechanical product design,mentoring new hires,mobile application development,new account acquisition,new account opening,new business development,new business development,new business generation,new business opportunities,new customer acquisitions,new hire orientation,new hire orientations,new hire processes,new hire training,new media marketing,new media strategy,new product ideas,new product ideas,new product implementations,new product implementations,new product introduction,new product introduction,new product launch,new product launch,new product qualification,new product qualification,new product release,new product release,new program development,new program development,new store development,new store development,new store openings,new store planning,new technology evaluation,offshore software development,product cost analysis,product launch events,product life cycle,product lifecycle management,production process development,professional development programs,professional development seminars,project scope development,real estate development,regional business development,research and development,sales channel development,sales force development,sap application development,social media development,software development methodologies,software development tools,strategic account development,strategic business development,strategic supplier development,strategic technology development,technical product management,technical product training,technology product development,technology product development,test driven development,test program development,training and development,training program development,value proposition development,video game development,web application development,web service development",206,88,64
